,NIP,Cl_T
497,N201806407,1
498,N201806418,2
499,N201806419,1
500,N201806425,1
501,N201806433,1
502,N201806441,1
503,N201806442,1
504,N201806459,1
505,N201806465,3
506,N201806478,1
507,N201806479,1
508,N201806486,3
509,N201806488,1
510,N201806491,1
511,N201806496,1
512,N201806500,1
513,N201806507,1
514,N201806512,1
515,N201806524,1
516,N201806528,2
517,N201806548,3
518,N201806561,1
519,N201806566,3
520,N201806567,1
521,N201806569,1
522,N201806582,3
523,N201806586,1
524,N201806589,1
525,N201806591,1
526,N201806595,1
527,N201806601,1
528,N201806606,3
529,N201806627,1
530,N201806628,1
531,N201806643,2
532,N201806679,1
533,N201806682,1
534,N201806690,1
535,N201806717,3
536,N201806718,1
537,N201806731,2
538,N201806746,3
539,N201806753,1
540,N201806789,1
541,N201806798,1
542,N201806805,1
543,N201806854,1
544,N201806883,1
545,N201806902,3
546,N201806908,1
547,N201806931,1
548,N201806940,1
549,N201806946,3
550,N201807023,3
551,N201807030,4
552,N201807036,1
553,N201807038,1
554,N201807048,1
555,N201807061,1
556,N201807064,1
557,N201807068,2
558,N201807105,3
559,N201807130,1
560,N201807157,1
561,N201807177,1
562,N201807179,1
563,N201807197,1
564,N201807215,1
565,N201807220,1
566,N201807288,1
567,N201807295,2
568,N201807316,2
569,N201807350,2
570,N201807368,1
571,N201807376,3
572,N201807410,1
573,N201807435,1
574,N201807436,1
575,N201807452,3
576,N201900001,2
577,N201900002,1
578,N201900003,2
579,N201900004,1
580,N201900005,2
581,N201900006,1
582,N201900007,3
583,N201900008,2
584,N201900009,2
585,N201900010,2
586,N201900011,2
587,N201900012,2
588,N201900013,2
589,N201900014,2
590,N201900015,1
591,N201900016,1
592,N201900017,1
