,NIP,Cl_T
761,N201803347,5
762,N201803371,0
763,N201803415,0
764,N201803419,0
765,N201803420,4
766,N201803436,5
767,N201803450,0
768,N201803452,5
769,N201803456,0
770,N201803465,0
771,N201803468,5
772,N201803494,5
773,N201803500,5
774,N201803520,0
775,N201803528,5
776,N201803561,0
777,N201803567,0
778,N201803618,5
779,N201803632,0
780,N201803635,0
781,N201803645,5
782,N201803672,0
783,N201803679,0
784,N201803684,0
785,N201803686,0
786,N201803697,0
787,N201803721,0
788,N201803724,0
789,N201803763,0
790,N201803767,0
791,N201803770,5
792,N201803775,5
793,N201803776,2
794,N201803788,0
795,N201803799,4
796,N201803804,0
797,N201803806,0
798,N201803826,1
799,N201803896,0
800,N201803897,5
801,N201803904,1
802,N201803964,4
803,N201803976,5
804,N201803999,1
805,N201804032,1
806,N201804085,5
807,N201804104,1
808,N201804110,1
809,N201804119,1
810,N201804153,1
811,N201804171,1
812,N201804215,0
813,N201804221,1
814,N201804223,1
815,N201804229,1
816,N201804307,5
817,N201804317,4
818,N201804328,1
819,N201804329,1
820,N201804352,1
821,N201804353,1
822,N201804362,1
823,N201804384,1
824,N201804388,5
825,N201804398,1
826,N201804400,5
827,N201804401,1
828,N201804406,5
829,N201804420,5
830,N201804428,1
831,N201804453,1
832,N201804465,1
833,N201804469,5
834,N201804530,1
835,N201804565,1
836,N201804566,1
837,N201804570,1
838,N201804581,5
839,N201804586,1
840,N201804618,1
841,N201804632,1
842,N201804637,1
843,N201804651,1
844,N201804656,2
845,N201804663,5
846,N201804681,1
847,N201804697,1
848,N201804723,1
849,N201804738,5
850,N201804739,1
851,N201804755,1
852,N201804761,1
853,N201804767,1
854,N201804780,1
855,N201804813,1
856,N201804852,1
857,N201804871,1
858,N201804883,2
859,N201804888,4
860,N201804914,1
861,N201804921,1
862,N201804923,5
863,N201804926,1
864,N201804955,1
865,N201804956,1
866,N201804959,1
867,N201804973,1
868,N201805045,1
869,N201805059,1
870,N201805065,1
871,N201805078,1
872,N201805100,1
873,N201805107,5
874,N201805108,1
875,N201805109,5
876,N201805111,1
877,N201805117,1
878,N201805127,1
879,N201805132,5
880,N201805133,1
881,N201805151,1
882,N201805166,1
883,N201805167,1
884,N201805168,1
885,N201805169,1
886,N201805184,1
887,N201805195,5
888,N201805196,1
889,N201805198,5
890,N201805209,1
891,N201805242,1
892,N201805250,1
893,N201805251,1
894,N201805255,1
895,N201805263,5
896,N201805272,1
897,N201805284,5
898,N201805285,5
899,N201805292,1
900,N201805301,2
901,N201805304,1
902,N201805305,1
903,N201805313,1
904,N201805326,2
905,N201805332,5
906,N201805343,1
907,N201805356,5
908,N201805357,4
909,N201805364,1
910,N201805381,5
911,N201805388,1
912,N201805429,1
913,N201805440,1
914,N201805448,1
915,N201805463,1
916,N201805471,2
917,N201805475,2
918,N201805486,1
919,N201805499,1
920,N201805502,1
