,NIP,Concat_Cl_P,X_abscisse
536,N201806295,2,44.629475437135724
537,N200204219,2,44.712739383846795
538,N201703729,2,44.79600333055787
539,N201704386,2,44.879267277268944
540,N201900013,2,44.962531223980015
541,N201805962,2,45.04579517069109
542,N201602438,2,45.129059117402164
543,N201403201,2,45.21232306411324
544,N201800109,2,45.29558701082431
545,N201806993,2,45.37885095753539
546,N198600847,2,45.46211490424646
547,N200900366,2,45.54537885095754
548,N201606233,2,45.62864279766861
549,N201900019,2,45.71190674437968
550,N201803468,2,45.79517069109076
551,N201106871,2,45.87843463780183
552,N201604424,2,45.96169858451291
553,N201900053,2,46.04496253122398
554,N200505297,2,46.12822647793506
555,N201800660,2,46.21149042464613
556,N201301403,2,46.29475437135721
557,N201404628,2,46.37801831806828
558,N201707031,2,46.46128226477935
559,N201703309,2,46.54454621149043
560,N199501223,2,46.6278101582015
561,N201601334,2,46.711074104912576
562,N199402447,2,46.79433805162365
563,N201803528,2,46.877601998334725
564,N201705382,2,46.960865945045796
565,N201802529,2,47.04412989175687
566,N201205438,2,47.127393838467945
567,N201401399,2,47.210657785179016
568,N201500243,2,47.293921731890094
569,N201702326,2,47.377185678601165
570,N201704660,2,47.46044962531224
571,N200801968,2,47.543713572023314
572,N201306207,2,47.62697751873439
573,N201407205,2,47.71024146544546
574,N198706532,2,47.793505412156534
575,N200102464,2,47.87676935886761
576,N201501685,2,47.96003330557868
577,N200804605,2,48.04329725228976
578,N201702654,2,48.12656119900083
579,N201701493,2,48.20982514571191
580,N199302118,2,48.29308909242298
581,N201105651,2,48.37635303913406
582,N201405678,2,48.45961698584513
583,N200600755,2,48.5428809325562
584,N200303600,2,48.62614487926728
585,N201503990,2,48.70940882597835
586,N201006939,2,48.79267277268943
587,N201601044,2,48.8759367194005
588,N201100365,2,48.95920066611158
589,N201606262,2,49.04246461282265
590,N201800053,2,49.12572855953373
591,N201601533,2,49.2089925062448
592,N199500115,2,49.29225645295587
593,N201402874,2,49.37552039966695
594,N201602829,2,49.45878434637802
595,N201702572,2,49.542048293089096
596,N201703570,2,49.62531223980017
597,N201602132,2,49.708576186511245
598,N201900020,2,49.791840133222316
599,N199200959,2,49.875104079933394
600,N201705512,2,49.958368026644465
601,N201806185,2,50.041631973355535
602,N199402901,2,50.12489592006661
603,N200504495,2,50.208159866777684
604,N201604466,2,50.29142381348876
605,N201801956,2,50.37468776019983
606,N201801432,2,50.45795170691091
607,N201401154,2,50.54121565362198
608,N201600106,2,50.62447960033306
609,N201900056,2,50.70774354704413
610,N200903137,2,50.7910074937552
611,N201304153,2,50.87427144046628
612,N201804406,2,50.95753538717735
613,N201806061,2,51.04079933388843
614,N201802626,2,51.1240632805995
615,N201807316,2,51.20732722731058
616,N201304875,2,51.29059117402165
617,N201802952,2,51.37385512073273
618,N201805198,2,51.4571190674438
619,N201803776,2,51.54038301415487
620,N201805301,2,51.62364696086595
621,N201803120,2,51.70691090757702
622,N200500832,2,51.7901748542881
623,N201001128,2,51.87343880099917
624,N201804883,2,51.956702747710246
625,N200906515,2,52.03996669442132
626,N201308004,2,52.123230641132395
627,N201803436,2,52.206494587843466
628,N201803494,2,52.28975853455454
629,N201606026,2,52.373022481265615
630,N201806731,2,52.456286427976686
631,N201900014,2,52.539550374687764
632,N201900024,2,52.622814321398835
633,N201806786,2,52.70607826810991
634,N198302546,2,52.789342214820984
635,N201805284,2,52.87260616153206
636,N201600568,2,52.95587010824313
637,N201703607,2,53.039134054954204
638,N201805471,2,53.12239800166528
639,N201402450,2,53.20566194837635
640,N200903854,2,53.28892589508743
641,N201805554,2,53.3721898417985
642,N201805647,2,53.45545378850958
643,N201806831,2,53.53871773522065
644,N201806114,2,53.62198168193173
645,N201806271,2,53.7052456286428
646,N201806408,2,53.78850957535387
647,N201806370,2,53.87177352206495
648,N201806548,2,53.95503746877602
649,N201900008,2,54.0383014154871
650,N201806285,2,54.12156536219817
651,N201403653,2,54.20482930890925
652,N201900039,2,54.28809325562032
653,N201806338,2,54.371357202331396
654,N201806528,2,54.45462114904247
655,N201807140,2,54.53788509575354
656,N201807231,2,54.621149042464616
657,N201201727,2,54.70441298917569
658,N201900030,2,54.787676935886765
659,N201806946,2,54.870940882597836
660,N201807295,2,54.954204829308914
661,N201807030,2,55.037468776019985
662,N200802103,2,55.12073272273106
663,N201701403,2,55.203996669442134
664,N201601414,2,55.287260616153205
665,N201900007,2,55.37052456286428
666,N200102831,2,55.453788509575354
667,N200605727,2,55.53705245628643
668,N200704779,2,55.6203164029975
669,N200806103,2,55.70358034970858
670,N200902975,2,55.78684429641965
671,N201002853,2,55.87010824313072
672,N201006713,2,55.9533721898418
673,N201201971,2,56.03663613655287
674,N201406560,2,56.11990008326395
675,N201507158,2,56.20316402997502
676,N201700263,2,56.2864279766861
677,N201706455,2,56.36969192339717
678,N201900001,2,56.45295587010825
679,N201900003,2,56.53621981681932
680,N201900005,2,56.61948376353039
681,N201900009,2,56.70274771024147
682,N201900010,2,56.78601165695254
683,N201900012,2,56.86927560366362
684,N201900018,2,56.95253955037469
685,N201900028,2,57.035803497085766
686,N201900032,2,57.11906744379684
687,N201900033,2,57.202331390507915
688,N201900034,2,57.285595337218986
689,N201900037,2,57.36885928393006
690,N201900054,2,57.452123230641135
691,N201900057,2,57.535387177352206
692,N201900058,2,57.618651124063284
693,N200000372,3,57.701915070774355
694,N198600899,3,57.78517901748543
695,N200600743,3,57.868442964196504
696,N201503946,3,57.95170691090758
697,N201603059,3,58.03497085761865
698,N201604425,3,58.118234804329724
699,N200400049,3,58.2014987510408
700,N201201911,3,58.28476269775187
701,N201606896,3,58.36802664446295
702,N201403231,3,58.45129059117402
703,N201307363,3,58.5345545378851
704,N200601943,3,58.61781848459617
705,N201700487,3,58.70108243130725
706,N201804153,3,58.78434637801832
707,N201802729,3,58.86761032472939
708,N199800296,3,58.95087427144047
709,N201407093,3,59.03413821815154
